,Name,Line_Category,Line,Over_Under,League,Bookmaker,No_Vig_Probability
87,Adam Fox,player_blocked_shots,1.5,Under,MLB,Draftkings/Fanduel,0.4204398447606727
88,Adam Fox,player_blocked_shots,1.5,Over,MLB,Draftkings/Fanduel,0.5795601552393272
89,Adam Fox,Assists,0.5,Under,MLB,Draftkings/Fanduel,0.46938775510204084
90,Adam Fox,Assists,0.5,Over,MLB,Draftkings/Fanduel,0.5306122448979592
91,Adam Fox,Assists,0.5,Over,NHL,Pinnacle,0.5259136977886978
92,Adam Fox,Assists,0.5,Under,NHL,Pinnacle,0.4740863022113022
93,Adam Fox,Points,0.5,Over,NHL,Pinnacle,0.6020921796349935
94,Adam Fox,Points,0.5,Under,NHL,Pinnacle,0.3979078203650066
95,Adam Fox,Shots,1.5,Under,NHL,Pinnacle,0.3719806763285024
96,Adam Frazier,Batter Walks,0.5,Over,MLB,Draftkings/Fanduel,0.31718816973853403
97,Adam Frazier,Singles,0.5,Over,MLB,Draftkings/Fanduel,0.42197452229299365
98,Adam Frazier,Singles,0.5,Under,MLB,Draftkings/Fanduel,0.5780254777070064
99,Adam Frazier,Total Bases,0.5,Over,MLB,Draftkings/Fanduel,0.5203045685279188
100,Adam Frazier,Total Bases,0.5,Under,MLB,Draftkings/Fanduel,0.4796954314720812
101,Adam Frazier,Batter Walks,0.5,Under,MLB,Draftkings/Fanduel,0.682811830261466
102,Adam Frazier,Runs,0.5,Under,MLB,Draftkings/Fanduel,0.6875
103,Adam Frazier,Total Bases,0.5,Under,MLB,Pinnacle,0.47677518377898054
104,Adam Frazier,Total Bases,0.5,Over,MLB,Pinnacle,0.5232248162210196
105,Adam Frazier,Runs,0.5,Over,MLB,Draftkings/Fanduel,0.3125
106,Adam Frazier,Hits + Runs + RBIs,0.5,Over,MLB,Draftkings/Fanduel,0.6040291767974991
107,Adam Frazier,Hits,0.5,Over,MLB,Draftkings/Fanduel,0.5203045685279188
108,Adam Frazier,Hits + Runs + RBIs,0.5,Under,MLB,Draftkings/Fanduel,0.3959708232025009
109,Adam Frazier,Hits,0.5,Under,MLB,Draftkings/Fanduel,0.4796954314720812
110,Adley Rutschman,Hits,1.5,Over,MLB,Draftkings/Fanduel,0.3221288515406162
111,Adley Rutschman,Hits,1.5,Under,MLB,Draftkings/Fanduel,0.6778711484593838
112,Adley Rutschman,Hits + Runs + RBIs,1.5,Over,MLB,Draftkings/Fanduel,0.5541401273885351
113,Adley Rutschman,Hits + Runs + RBIs,1.5,Under,MLB,Draftkings/Fanduel,0.445859872611465
114,Adley Rutschman,Runs,0.5,Over,MLB,Draftkings/Fanduel,0.4927536231884058
115,Adley Rutschman,Runs,0.5,Under,MLB,Draftkings/Fanduel,0.5072463768115941
116,Adley Rutschman,Singles,0.5,Under,MLB,Draftkings/Fanduel,0.468230836490819
117,Adley Rutschman,Total Bases,1.5,Over,MLB,Draftkings/Fanduel,0.46440949080245264
118,Adley Rutschman,Singles,0.5,Over,MLB,Draftkings/Fanduel,0.5317691635091809
119,Adley Rutschman,Batter Walks,0.5,Over,MLB,Draftkings/Fanduel,0.4165029469548134
120,Adley Rutschman,Total Bases,1.5,Under,MLB,Pinnacle,0.5371282253299192
121,Adley Rutschman,Total Bases,1.5,Over,MLB,Pinnacle,0.46287177467008067
122,Adley Rutschman,Total Bases,1.5,Under,MLB,Draftkings/Fanduel,0.5355905091975472
123,Adley Rutschman,Batter Walks,0.5,Under,MLB,Draftkings/Fanduel,0.5834970530451867
124,Adolis Garcia,Hits,0.5,Over,MLB,Draftkings/Fanduel,0.6654303347216732
125,Adolis Garcia,Hits,0.5,Under,MLB,Draftkings/Fanduel,0.33456966527832666
126,Adolis Garcia,Hits + Runs + RBIs,2.5,Over,MLB,Draftkings/Fanduel,0.43668122270742354
127,Adolis Garcia,Hits + Runs + RBIs,2.5,Under,MLB,Draftkings/Fanduel,0.5633187772925764
128,Adolis Garcia,Batter Walks,0.5,Under,MLB,Draftkings/Fanduel,0.6983581519663993
129,Adolis Garcia,Batter Walks,0.5,Over,MLB,Draftkings/Fanduel,0.3016418480336006
130,Adolis Garcia,Runs,0.5,Under,MLB,Draftkings/Fanduel,0.4976177340889715
131,Adolis Garcia,Total Bases,1.5,Under,MLB,Draftkings/Fanduel,0.5336670838548185
132,Adolis Garcia,Total Bases,1.5,Over,MLB,Draftkings/Fanduel,0.46633291614518146
133,Adolis Garcia,Singles,0.5,Under,MLB,Draftkings/Fanduel,0.5665108372290693
134,Adolis Garcia,Singles,0.5,Over,MLB,Draftkings/Fanduel,0.43348916277093075
135,Adolis Garcia,Runs,0.5,Over,MLB,Draftkings/Fanduel,0.5023822659110286
136,Adolis Garcia,Total Bases,1.5,Under,MLB,Pinnacle,0.5252688606776097
137,Adolis Garcia,Total Bases,1.5,Over,MLB,Pinnacle,0.4747311393223902
138,Al Horford,Rebounds,5.5,Over,NBA,Draftkings/Fanduel,0.5074728503440571
139,Al Horford,Points,6.5,Over,NBA,Draftkings/Fanduel,0.5107136486532149
140,Al Horford,Points + Rebounds,12.5,Over,NBA,Draftkings/Fanduel,0.5033891714004513
141,Al Horford,player_threes,1.5,Over,NBA,Pinnacle,0.4738819463977177
142,Al Horford,Rebounds,5.5,Under,NBA,Pinnacle,0.5244090964566128
143,Al Horford,Rebounds,5.5,Over,NBA,Pinnacle,0.4755909035433872
144,Al Horford,Pts + Rebs + Asts,14.5,Under,NBA,Pinnacle,0.5080942166821806
145,Al Horford,Points + Rebounds,12.5,Under,NBA,Draftkings/Fanduel,0.4966108285995488
146,Al Horford,Pts + Rebs + Asts,14.5,Over,NBA,Pinnacle,0.4919057833178194
147,Al Horford,Points,6.5,Under,NBA,Pinnacle,0.4808467741935484
148,Al Horford,Points,6.5,Over,NBA,Pinnacle,0.5191532258064516
149,Al Horford,Assists,1.5,Under,NBA,Pinnacle,0.5162199424192044
150,Al Horford,Assists,1.5,Over,NBA,Pinnacle,0.4837800575807956
151,Al Horford,player_threes,1.5,Under,NBA,Pinnacle,0.5261180536022823
152,Al Horford,Rebounds,5.5,Under,NBA,Draftkings/Fanduel,0.4925271496559428
153,Al Horford,player_threes,1.5,Under,NBA,Draftkings/Fanduel,0.5150358436267949
154,Al Horford,player_threes,1.5,Over,NBA,Draftkings/Fanduel,0.4849641563732051
155,Al Horford,Steals,0.5,Under,NBA,Draftkings/Fanduel,0.4891657638136511
156,Al Horford,Steals,0.5,Over,NBA,Draftkings/Fanduel,0.5108342361863488
157,Al Horford,Rebounds + Assists,7.5,Under,NBA,Draftkings/Fanduel,0.5260865852617197
158,Al Horford,Rebounds + Assists,7.5,Over,NBA,Draftkings/Fanduel,0.4739134147382802
159,Al Horford,Blocks,0.5,Under,NBA,Draftkings/Fanduel,0.4826358742837298
160,Al Horford,Blocks,0.5,Over,NBA,Draftkings/Fanduel,0.5173641257162702
161,Al Horford,Points,6.5,Under,NBA,Draftkings/Fanduel,0.4892863513467851
162,Alec Bohm,Batter Walks,0.5,Over,MLB,Draftkings/Fanduel,0.3604118993135012
163,Alec Bohm,Total Bases,1.5,Under,MLB,Draftkings/Fanduel,0.5101214574898785
164,Alec Bohm,Total Bases,1.5,Under,MLB,Pinnacle,0.5130795235028976
165,Alec Bohm,Singles,0.5,Under,MLB,Draftkings/Fanduel,0.46959265064783035
166,Alec Bohm,Batter Walks,0.5,Under,MLB,Draftkings/Fanduel,0.6395881006864989
167,Alec Bohm,Singles,0.5,Over,MLB,Draftkings/Fanduel,0.5304073493521697
168,Alec Bohm,Runs,0.5,Under,MLB,Draftkings/Fanduel,0.5147058823529411
169,Alec Bohm,Total Bases,1.5,Over,MLB,Draftkings/Fanduel,0.48987854251012153
170,Alec Bohm,Total Bases,1.5,Over,MLB,Pinnacle,0.48692047649710235
171,Alec Bohm,Hits + Runs + RBIs,1.5,Under,MLB,Draftkings/Fanduel,0.42483660130718953
172,Alec Bohm,Hits,1.5,Over,MLB,Draftkings/Fanduel,0.3313782991202346
173,Alec Bohm,Runs,0.5,Over,MLB,Draftkings/Fanduel,0.4852941176470588
174,Alec Bohm,Hits,1.5,Under,MLB,Draftkings/Fanduel,0.6686217008797654
175,Alec Bohm,Hits + Runs + RBIs,1.5,Over,MLB,Draftkings/Fanduel,0.5751633986928105
176,Alejandro Kirk,Total Bases,1.5,Under,MLB,Draftkings/Fanduel,0.5940959409594097
177,Alejandro Kirk,Total Bases,1.5,Under,MLB,Pinnacle,0.6006005155369232
178,Alejandro Kirk,Total Bases,1.5,Over,MLB,Pinnacle,0.39939948446307677
179,Alejandro Kirk,Batter Walks,0.5,Under,MLB,Draftkings/Fanduel,0.6718280563901086
180,Alejandro Kirk,Hits,0.5,Over,MLB,Draftkings/Fanduel,0.673024523160763
181,Alejandro Kirk,Hits + Runs + RBIs,1.5,Over,MLB,Draftkings/Fanduel,0.5101214574898785
182,Alejandro Kirk,Hits + Runs + RBIs,1.5,Under,MLB,Draftkings/Fanduel,0.48987854251012153
183,Alejandro Kirk,Runs,0.5,Over,MLB,Draftkings/Fanduel,0.3887399463806971
184,Alejandro Kirk,Runs,0.5,Under,MLB,Draftkings/Fanduel,0.6112600536193029
185,Alejandro Kirk,Singles,0.5,Over,MLB,Draftkings/Fanduel,0.5541401273885351
186,Alejandro Kirk,Singles,0.5,Under,MLB,Draftkings/Fanduel,0.445859872611465
