,Sport Identifier,Match Info,Outcome,Player Name,Player Stat
304,sspz8,CONN 89 @ MIN 84 - 6/01/23 8:00PM,NT6cP,Brionna Jones,Higher  - 14.0 Points
305,sspz8,MIN 84 vs CONN 89 - 6/01/23 8:00PM,o3o4E,Napheesa Collier,Higher  - 17.0 Points
306,sspz8,ARI 5 vs COL 1 - 5/30/23 9:40PM,o3o4E,Christian Walker,Lower  - 1.5 Total Bases
307,sspz8,LAD 9 vs WSH 3 - 5/30/23 10:10PM,NT6cP,J.D. Martinez,Lower  - 1.5 Total Bases
308,sspz8,LAD 9 vs WSH 3 - 5/30/23 10:10PM,NT6cP,James Outman,Higher  - 0.5 Hits
309,sspz8,MIL 2 @ TOR 7 - 5/30/23 7:07PM,NT6cP,Owen Miller,Lower  - 0.5 Runs
310,sspz8,ROM 1 @ SEV 1 - 5/31/23 3:00PM,o3o4E,Lorenzo Pellegrini,Lower  - 0.5 Shots on Target
311,sspz8,SEV 1 vs ROM 1 - 5/31/23 3:00PM,NT6cP,Youssef En-Nesyri,Lower  - 2.5 Shots Attempted
312,sspz8,ROM 1 @ SEV 1 - 5/31/23 3:00PM,NT6cP,Paulo Dybala,Higher  - 2.0 Shots Attempted
313,sspz8,ROM 1 @ SEV 1 - 5/31/23 3:00PM,,Andrea Belotti,Higher  - 1.5 Shots Attempted
314,sspz8,SEV 1 vs ROM 1 - 5/31/23 3:00PM,o3o4E,Lucas Ocampos,Higher  - 2.0 Shots Attempted
315,sspz8,ROM 1 @ SEV 1 - 5/31/23 3:00PM,NT6cP,Tammy Abraham,Higher  - 2.0 Shots Attempted
316,sspz8,LAD 9 vs WSH 3 - 5/30/23 10:10PM,NT6cP,J.D. Martinez,Lower  - 1.5 Total Bases
317,J5xEz,BOS 84 vs MIA 103 - 5/29/23 8:40PM,NT6cP,Marcus Smart,Higher  - 4.5 Assists
318,J5xEz,MIA 103 @ BOS 84 - 5/29/23 8:40PM,o3o4E,Bam Adebayo,Higher  - 4.5 Assists
319,J5xEz,MIA 103 @ BOS 84 - 5/29/23 8:40PM,o3o4E,Kyle Lowry,Higher  - 6.0 Points
320,sspz8,LAA 6 @ CWS 4 - 5/29/23 8:10PM,NT6cP,Mike Trout,Lower  - 1.5 Total Bases
321,sspz8,VGK 6 @ DAL 0 - 5/29/23 8:04PM,,Jack Eichel,Higher  - 3.0 Shots
322,sspz8,MIA 103 @ BOS 84 - 5/29/23 8:40PM,NT6cP,Gabe Vincent,Higher  - 5.5 Rebounds + Assists
323,sspz8,BOS 84 vs MIA 103 - 5/29/23 8:40PM,o3o4E,Malcolm Brogdon,Lower  - 6.0 Points
324,sspz8,MIA 103 @ BOS 84 - 5/29/23 8:40PM,o3o4E,Max Strus,Lower  - 9.5 Points
325,sspz8,MIA 103 @ BOS 84 - 5/29/23 8:40PM,o3o4E,Jimmy Butler,Lower  - 14.5 Rebounds + Assists
326,sspz8,BOS 84 vs MIA 103 - 5/29/23 8:40PM,NT6cP,Derrick White,Lower  - 17.5 Points + Assists
327,sspz8,BOS 84 vs MIA 103 - 5/29/23 8:40PM,o3o4E,Al Horford,Higher  - 9.0 Rebounds + Assists
328,sspz8,BOS 84 vs MIA 103 - 5/29/23 8:40PM,,Derrick White,Lower  - 21.0 Pts + Rebs + Asts
329,sspz8,BOS 84 vs MIA 103 - 5/29/23 8:40PM,NT6cP,Derrick White,Lower  - 18.5 Points + Rebounds
330,sspz8,BOS 84 vs MIA 103 - 5/29/23 8:40PM,o3o4E,Al Horford,Higher  - 13.5 Points + Rebounds
331,sspz8,BOS 84 vs MIA 103 - 5/29/23 8:40PM,NT6cP,Al Horford,Lower  - 7.5 Points
332,sspz8,BOS 84 vs MIA 103 - 5/29/23 8:40PM,o3o4E,Marcus Smart,Lower  - 18.5 Points + Rebounds
333,sspz8,BOS 84 vs MIA 103 - 5/29/23 8:40PM,o3o4E,Jaylen Brown,Lower  - 28.5 Points + Assists
334,sspz8,BOS 84 vs MIA 103 - 5/29/23 8:40PM,o3o4E,Jayson Tatum,Lower  - 48.5 Pts + Rebs + Asts
335,sspz8,MIA 103 @ BOS 84 - 5/29/23 8:40PM,NT6cP,Caleb Martin,Lower  - 7.0 Rebounds
